filtro;tp;sl;protecao_pct;trades;gains;losses;protegidos;timeouts;fim_dados;positivos;negativos;taxa_gain_pct;taxa_sem_loss_pct;resultado_total;media_trade;profit_factor;drawdown_max;maior_seq_losses;tempo_medio_s;sinais_ignorados_posicao_aberta
TODAS;1600;1200;SEM_PROTECAO;289;151;127;0;11;0;157;132;52,24913494809689;56,055363321799305;91700,0;317,30103806228374;1,5908505154639174;-16075,0;9;1121,235294117647;35
TODAS;2000;1200;SEM_PROTECAO;267;121;133;0;13;0;128;139;45,3183520599251;50,18726591760299;87075,0;326,12359550561797;1,5352697095435686;-24075,0;12;1244,621722846442;57
TODAS;1400;1200;0.5;298;156;122;11;9;0;161;126;52,348993288590606;59,060402684563755;72825,0;244,3791946308725;1,4909826394741277;-14000,0;9;1087,6879194630872;26
TODAS;1400;1200;0.6;298;156;122;10;10;0;161;127;52,348993288590606;59,060402684563755;71950,0;241,44295302013424;1,4822386058981234;-14875,0;9;1087,6879194630872;26
TODAS;1400;1200;0.8;295;156;123;6;10;0;161;128;52,88135593220339;58,30508474576271;70750,0;239,83050847457628;1,4704122340425532;-14875,0;9;1100,922033898305;29
TODAS;1400;1200;0.7;296;155;123;8;10;0;160;128;52,36486486486486;58,445945945945944;69350,0;234,29054054054055;1,4611037234042554;-14875,0;9;1096,8716216216217;28
TODAS;2000;1500;0.5;271;117;112;27;15;0;125;119;43,17343173431734;58,67158671586716;68925,0;254,33579335793357;1,397548666186013;-27375,0;9;1227,0369003690037;53
TODAS;2000;1500;0.6;270;118;114;23;15;0;126;121;43,7037037037037;57,77777777777778;67925,0;251,57407407407408;1,3851169383416018;-27375,0;9;1234,637037037037;54
TODAS;2000;1500;0.7;269;119;116;19;15;0;127;123;44,237918215613384;56,87732342007435;66925,0;248,79182156133828;1,3731010452961672;-26375,0;9;1240,3494423791822;55
TODAS;1400;1200;SEM_PROTECAO;294;156;128;0;10;0;161;133;53,06122448979592;56,46258503401361;64750,0;220,23809523809524;1,414002557544757;-14875,0;9;1106,1802721088436;30
TODAS;2000;1500;0.8;269;120;119;15;15;0;128;126;44,60966542750929;55,762081784386616;64425,0;239,4981412639405;1,3503738953093134;-25875,0;9;1242,907063197026;55
TODAS;1800;1500;0.5;284;130;115;24;15;0;138;122;45,774647887323944;59,50704225352113;64425,0;226,84859154929578;1,3621925509486998;-26975,0;9;1162,3028169014085;40
TODAS;1800;1500;0.6;281;131;117;18;15;0;139;124;46,619217081850536;58,362989323843415;63225,0;225,0;1,349550794747754;-26975,0;9;1175,032028469751;43
TODAS;1600;1500;0.5;291;147;115;17;12;0;153;121;50,51546391752577;60,48109965635739;63000,0;216,49484536082474;1,3559322033898304;-21900,0;9;1111,2027491408935;33
TODAS;1800;1500;0.7;281;131;118;17;15;0;139;125;46,619217081850536;58,00711743772242;61725,0;219,66192170818505;1,3384509938313913;-26975,0;9;1176,7864768683273;43
TODAS;1600;1500;0.7;288;147;117;11;13;0;153;124;51,041666666666664;59,375;59125,0;205,29513888888889;1,326883206634416;-22775,0;9;1125,6909722222222;36
TODAS;1600;1500;0.6;289;146;116;14;13;0;152;123;50,51903114186851;59,86159169550173;59025,0;204,23875432525952;1,3290592334494773;-22775,0;9;1120,7335640138408;35
TODAS;1800;1500;0.8;280;132;121;12;15;0;140;128;47,142857142857146;56,785714285714285;59025,0;210,80357142857142;1,3158528428093645;-26975,0;9;1182,975;44
TODAS;1600;1500;0.8;288;147;119;9;13;0;153;126;51,041666666666664;58,68055555555556;56125,0;194,87847222222223;1,3052345343303875;-22775,0;9;1128,1979166666667;36
AJUSTE_GE_8;2000;1200;0.5;184;75;80;20;9;0;79;85;40,76086956521739;56,52173913043478;56000,0;304,3478260869565;1,5676634566649772;-9975,0;5;1501,4130434782608;21
TODAS;1800;1500;SEM_PROTECAO;279;135;128;0;16;0;144;135;48,38709677419355;54,121863799283155;54975,0;197,04301075268816;1,2785307156428118;-28175,0;9;1199,2508960573477;45
TODAS;1600;1500;SEM_PROTECAO;286;149;123;0;14;0;156;130;52,0979020979021;56,99300699300699;54375,0;190,12237762237763;1,2863726135615536;-22675,0;9;1144,6293706293707;38
AJUSTE_GE_8;1600;1200;0.5;193;93;80;13;7;0;96;84;48,18652849740933;58,54922279792746;53925,0;279,4041450777202;1,5515213500383533;-6800,0;4;1383,740932642487;12
AJUSTE_GE_8;1800;1200;0.5;189;82;80;18;9;0;86;85;43,386243386243386;57,67195767195767;53600,0;283,5978835978836;1,5433350228079068;-10575,0;4;1449,2063492063492;16
AJUSTE_EQ_12;1600;1200;0.5;137;72;51;10;4;0;72;55;52,55474452554745;62,77372262773723;52225,0;381,2043795620438;1,8292973402143708;-6400,0;4;462,13868613138686;4
AJUSTE_EQ_12;2000;1200;0.5;129;58;51;15;5;0;58;56;44,96124031007752;60,46511627906977;52150,0;404,26356589147287;1,8167580266249022;-9950,0;4;517,5116279069767;12
AJUSTE_GE_8;1800;1200;0.6;187;82;82;14;9;0;86;87;43,850267379679146;56,149732620320854;51200,0;273,7967914438503;1,5066798614547254;-10575,0;5;1467,3475935828876;18
TODAS;2000;1500;SEM_PROTECAO;266;121;129;0;16;0;129;137;45,48872180451128;51,50375939849624;51150,0;192,29323308270676;1,256841576700979;-30375,0;11;1262,6654135338347;58
AJUSTE_GE_8;2000;1200;0.6;183;74;83;17;9;0;78;88;40,43715846994535;54,6448087431694;50400,0;275,40983606557376;1,4929095354523227;-9975,0;5;1516,3989071038252;22
AJUSTE_GE_8;1600;1200;0.6;191;92;81;10;8;0;95;86;48,167539267015705;57,59162303664922;50250,0;263,0890052356021;1,5032548823234853;-7600,0;5;1401,0157068062827;14
AJUSTE_EQ_12;1800;1200;0.5;134;63;51;15;5;0;63;56;47,014925373134325;61,940298507462686;49550,0;369,7761194029851;1,7760375880971027;-9950,0;4;488,73880597014926;7
AJUSTE_GE_8;1600;1200;0.7;191;92;82;9;8;0;95;87;48,167539267015705;57,068062827225134;49050,0;256,8062827225131;1,4854032657100444;-7750,0;5;1404,869109947644;14
AJUSTE_EQ_12;1600;1200;0.6;135;71;52;7;5;0;71;57;52,592592592592595;61,48148148148148;48550,0;359,6296296296296;1,7463489623366641;-6750,0;4;472,9259259259259;6
AJUSTE_GE_8;2000;1200;0.7;182;74;85;14;9;0;78;90;40,65934065934066;53,2967032967033;48000,0;263,7362637362637;1,4586717630195891;-9975,0;5;1524,3956043956043;23
AJUSTE_GE_8;2000;1200;0.8;182;75;87;11;9;0;79;92;41,20879120879121;52,1978021978022;47600,0;261,53846153846155;1,4446520317608593;-9975,0;5;1527,9120879120878;23
AJUSTE_EQ_12;1600;1200;0.7;135;71;53;6;5;0;71;58;52,592592592592595;60,74074074074074;47350,0;350,74074074074076;1,7147169811320755;-6750,0;4;478,3777777777778;6
AJUSTE_EQ_12;1800;1200;0.6;132;63;53;11;5;0;63;58;47,72727272727273;59,84848484848485;47150,0;357,1969696969697;1,7116981132075473;-9950,0;4;499,8863636363636;9
