_source_category;_source_file;_source_sheet;_source_row;data_hora_sistema;price;spread_atual;imbalance_atual;delta30;delta10;compra30;venda30;saldo30;compra10;venda10;saldo10;razao_compra30;razao_venda30;vel15;vel5;vel_anterior;aceleracao;desloc15;topo_30s;fundo_30s;rompimento_compra;rompimento_venda;continuidade_2s;ticks_s;score_spread;spread_pct_120_60;spread_pct_60;spread_pct_30;spread_pct_15;spread_pct_5;spread_medio_30;spread_max_30;dna_spread;estrutura;motivo_estrutura;qtd_swings_confirmados;ultimo_topo;topo_anterior;ultimo_fundo;fundo_anterior;amplitude_swings;eficiencia_swings;ultima_mudanca_estrutura;swing_mais_recente_tipo;swing_mais_recente_preco;swing_mais_recente_hora;estrutura_bruta;motivo_estrutura_bruta;estrutura_confirmada;estrutura_candidata;confirmacoes_candidata;nivel_invalidation;ultima_mudanca_confirmada;aprovado;lado;score;score_base_dna;ajuste_estrutura;score_oposto;diferenca_score;gate_delta30;gate_saldo30;gate_vel15;gate_aceleracao;gate_rompimento;gate_continuidade;gate_atividade;hard_gates_ok;qtd_hard_gates_ok;hard_gates_faltantes;hard_gates_compra_ok;qtd_hard_gates_compra_ok;hard_gates_compra_faltantes;hard_gates_venda_ok;qtd_hard_gates_venda_ok;hard_gates_venda_faltantes;positivos;bloqueios;score_compra;score_venda;score_compra_base;score_venda_base;ajuste_estrutura_compra;ajuste_estrutura_venda;tipo_entrada_campanha;campanha_ativa;campanha_lado;campanha_entradas;campanha_pullback
estados;estados_c7_dna_fluxo_v5_2.csv;;2;2026-07-17 17:40:59;28757.75;0.75;3.0;-45;-9;32.0;76.0;-44;10.0;19.0;-9;0.4285714285714285;2.333333333333333;-0.0338845215505557;0.0503423278292388;-0.0661550674781688;0.1164973953074076;-0.5;28759.25;28756.5;-1.5;-1.25;-0.5;32.461371645432365;10;0.0;0.0;0.0;0.0;0.0;0.6629464285714286;1.0;FORTE;INDEFINIDA;aguardando primeira estrutura;12;28759.25;28759.25;28757.25;28754.75;7.25;0.0483870967741935;TRANSICAO confirmada em 2026-07-17 17:40:42.602000;TOPO;28759.25;2026-07-17 17:40:42.602;TRANSICAO;"topos/fundos divergentes: 28759.25->28759.25; 28754.75->28757.25";INDEFINIDA;;0.0;;;False;VENDA;69;69;0.0;26;43;True;True;True;False;False;True;True;False;5;aceleracao | rompimento;False;2;delta30 | saldo30 | vel15 | rompimento | continuidade;False;5;aceleracao | rompimento;spread FORTE +10 | delta30 favorável 45.0 | saldo agressor30 44.0 | saldo10 favorável 9.0 | razão fluxo 2.33 | vel15 0.0339 | desloc15 0.50 | ticks/s 32.46 | continuidade 0.50;aceleração insuficiente -0.1165 | sem rompimento confirmado -1.25 | hard-gate DNA incompleto | score 69 < 72;26;69;26;69;0.0;0.0;NOVA_CAMPANHA;False;;0.0;False
estados;estados_c7_dna_fluxo_v5_2.csv;;3;2026-07-17 17:41:10;28761.0;0.75;0.3333333333333333;-15;1;30.0;44.0;-14;7.0;6.0;1;0.6888888888888889;1.4516129032258065;0.1500600240096038;0.3121098626716604;0.0543714658547194;0.257738396816941;2.25;28760.25;28757.25;0.75;-3.75;1.0;26.07709750566893;10;0.0;0.0;0.0;0.0;0.0;0.6875;1.0;FORTE;INDEFINIDA;aguardando primeira estrutura;12;28759.25;28759.25;28757.25;28754.75;7.25;0.0483870967741935;TRANSICAO confirmada em 2026-07-17 17:40:42.602000;TOPO;28759.25;2026-07-17 17:40:42.602;TRANSICAO;"topos/fundos divergentes: 28759.25->28759.25; 28754.75->28757.25";INDEFINIDA;;0.0;;;False;COMPRA;74;74;0.0;29;45;False;False;True;True;True;True;True;False;5;delta30 | saldo30;False;5;delta30 | saldo30;False;2;delta30 | vel15 | aceleracao | rompimento | continuidade;spread FORTE +10 | saldo10 favorável 1.0 | vel15 0.1501 | vel5 acelerando 0.3121 | aceleração 0.2577 | desloc15 2.25 | ticks/s 26.08 | rompimento 0.75 | continuidade 1.00;delta30 insuficiente -15.0 | saldo30 insuficiente -14.0 | hard-gate DNA incompleto;74;29;74;29;0.0;0.0;NOVA_CAMPANHA;False;;0.0;False
estados;estados_c7_dna_fluxo_v5_2.csv;;4;2026-07-17 17:41:22;28761.25;0.75;0.5;4;12;39.0;34.0;5;18.0;7.0;11;1.1428571428571428;0.875;0.1354462955438168;-0.1781049631916409;0.2822944896115628;-0.4603994528032037;2.0;28762.25;28757.25;-1.0;-4.0;-1.0;36.63822294460247;10;0.0;0.0;0.0;0.0;0.0;0.6456043956043956;1.0;FORTE;ALTA;primeira estrutura confirmada: ALTA;12;28762.0;28759.25;28757.25;28754.75;8.0;0.1290322580645161;ALTA confirmada em 2026-07-17 17:41:03.602000;TOPO;28762.0;2026-07-17 17:41:03.602;ALTA;topo 28762.00>28759.25 e fundo 28757.25>28754.75;ALTA;;0.0;28757.25;2026-07-17 17:41:07.626000;False;COMPRA;57;45;12.0;30;27;False;False;True;False;False;False;True;False;2;delta30 | saldo30 | aceleracao | rompimento | continuidade;False;2;delta30 | saldo30 | aceleracao | rompimento | continuidade;False;3;delta30 | saldo30 | vel15 | rompimento;spread FORTE +10 | delta10 crescente 12.0 | saldo10 favorável 11.0 | razão fluxo 1.14 | vel15 0.1354 | desloc15 2.00 | ticks/s 36.64 | estrutura confirmada alinhada +8 | estrutura local alinhada +4;delta30 insuficiente 4.0 | saldo30 insuficiente 5.0 | aceleração insuficiente -0.4604 | sem rompimento confirmado -1.00 | sem continuidade -1.00 | hard-gate DNA incompleto | score 57 < 72;57;30;45;36;12.0;-6.0;NOVA_CAMPANHA;False;;0.0;False
estados;estados_c7_dna_fluxo_v5_2.csv;;5;2026-07-17 17:41:33;28760.0;0.75;2.0;9;-3;31.0;21.0;10;8.0;10.0;-2;1.4545454545454546;0.6875;-0.1342732460557234;-0.0627982918864606;-0.1649802023757149;0.1021819104892542;-2.0;28762.25;28759.25;-2.25;-0.75;-0.25;29.137294394091978;10;0.0;0.0;0.0;0.0;0.0;0.6022727272727273;1.0;FORTE;ALTA;"ALTA mantida; estrutura bruta alinhada";12;28762.0;28759.25;28757.25;28754.75;8.0;0.1290322580645161;ALTA confirmada em 2026-07-17 17:41:03.602000;TOPO;28762.0;2026-07-17 17:41:03.602;ALTA;topo 28762.00>28759.25 e fundo 28757.25>28754.75;ALTA;;0.0;28757.25;2026-07-17 17:41:07.626000;False;COMPRA;47;35;12.0;36;11;False;True;False;True;False;False;True;False;3;delta30 | vel15 | rompimento | continuidade;False;3;delta30 | vel15 | rompimento | continuidade;False;3;delta30 | saldo30 | aceleracao | rompimento;spread FORTE +10 | saldo agressor30 10.0 | razão fluxo 1.45 | aceleração 0.1022 | ticks/s 29.14 | estrutura confirmada alinhada +8 | estrutura local alinhada +4;delta30 insuficiente 9.0 | vel15 insuficiente -0.1343 | sem rompimento confirmado -2.25 | sem continuidade -0.25 | hard-gate DNA incompleto | lados próximos: diferença 11 | score 47 < 72;47;36;35;42;12.0;-6.0;NOVA_CAMPANHA;False;;0.0;False
estados;estados_c7_dna_fluxo_v5_2.csv;;6;2026-07-17 17:41:45;28759.25;0.75;1.5;-6;-8;32.0;37.0;-5;10.0;19.0;-9;0.868421052631579;1.1515151515151516;-0.0710227272727272;0.1009285425918449;-0.1408133378393601;0.2417418804312051;-1.0;28762.25;28758.0;-3.0;-1.25;-0.5;35.36931818181818;10;0.0;0.0;0.0;0.0;0.0;0.5833333333333334;1.0;FORTE;ALTA;"ALTA mantida; estrutura bruta alinhada";12;28762.0;28759.25;28758.0;28757.25;8.0;0.1023622047244094;ALTA confirmada em 2026-07-17 17:41:27.711000;FUNDO;28758.0;2026-07-17 17:41:27.711;ALTA;topo 28762.00>28759.25 e fundo 28758.00>28757.25;ALTA;;0.0;28758.0;2026-07-17 17:41:07.626000;False;VENDA;41;47;-6.0;38;3;False;False;True;False;False;True;True;False;3;delta30 | saldo30 | aceleracao | rompimento;False;2;delta30 | saldo30 | vel15 | rompimento | continuidade;False;3;delta30 | saldo30 | aceleracao | rompimento;spread FORTE +10 | saldo10 favorável 9.0 | razão fluxo 1.15 | vel15 0.0710 | desloc15 1.00 | ticks/s 35.37 | continuidade 0.50 | estrutura confirmada contrária -6;delta30 insuficiente 6.0 | saldo30 insuficiente 5.0 | aceleração insuficiente -0.2417 | sem rompimento confirmado -1.25 | hard-gate DNA incompleto | lados próximos: diferença 3 | score 41 < 72;38;41;26;47;12.0;-6.0;NOVA_CAMPANHA;False;;0.0;False
estados;estados_c7_dna_fluxo_v5_2.csv;;7;2026-07-17 17:41:56;28760.0;0.75;1.5;0;13;37.0;38.0;-1;21.0;9.0;12;0.9743589743589745;1.0263157894736843;0.0206406869220607;0.2925687536571094;-0.0436986540814542;0.3362674077385637;0.25;28761.0;28758.0;-1.0;-2.0;0.5;23.2001321003963;10;0.0;0.0;0.0;0.0;0.0;0.654320987654321;1.0;FORTE;ALTA;ALTA mantida durante TRANSICAO;12;28761.0;28762.0;28758.0;28757.25;8.0;0.2212389380530973;TRANSICAO confirmada em 2026-07-17 17:41:38.263000;TOPO;28761.0;2026-07-17 17:41:38.263;TRANSICAO;"topos/fundos divergentes: 28762.00->28761.00; 28757.25->28758.00";ALTA;;0.0;28758.0;2026-07-17 17:41:07.626000;False;COMPRA;57;49;8.0;8;49;False;False;False;True;False;True;True;False;3;delta30 | saldo30 | vel15 | rompimento;False;3;delta30 | saldo30 | vel15 | rompimento;False;1;delta30 | saldo30 | vel15 | aceleracao | rompimento | continuidade;spread FORTE +10 | delta10 crescente 13.0 | saldo10 favorável 12.0 | vel5 acelerando 0.2926 | aceleração 0.3363 | ticks/s 23.20 | continuidade 0.50 | estrutura confirmada alinhada +8;delta30 insuficiente 0.0 | saldo30 insuficiente -1.0 | vel15 insuficiente 0.0206 | sem rompimento confirmado -1.00 | hard-gate DNA incompleto | score 57 < 72;57;8;49;14;8.0;-6.0;NOVA_CAMPANHA;False;;0.0;False
estados;estados_c7_dna_fluxo_v5_2.csv;;8;2026-07-17 17:42:08;28759.25;0.75;0.3333333333333333;6;-2;48.0;43.0;5;14.0;15.0;-1;1.1136363636363635;0.8979591836734694;-0.0198271076215401;-0.2014098690835851;0.0886839304717985;-0.2900937995553836;-0.25;28761.0;28758.0;-1.75;-1.25;-0.75;22.840827980014275;10;0.0;0.0;0.0;0.0;0.0;0.6692708333333334;1.0;FORTE;ALTA;ALTA mantida durante TRANSICAO;12;28761.0;28762.0;28758.0;28757.25;8.0;0.2212389380530973;TRANSICAO confirmada em 2026-07-17 17:41:38.263000;TOPO;28761.0;2026-07-17 17:41:38.263;TRANSICAO;"topos/fundos divergentes: 28762.00->28761.00; 28757.25->28758.00";ALTA;;0.0;28758.0;2026-07-17 17:41:07.626000;False;VENDA;35;41;-6.0;27;8;False;False;False;True;False;True;True;False;3;delta30 | saldo30 | vel15 | rompimento;False;1;delta30 | saldo30 | vel15 | aceleracao | rompimento | continuidade;False;3;delta30 | saldo30 | vel15 | rompimento;spread FORTE +10 | saldo10 favorável 1.0 | vel5 acelerando 0.2014 | aceleração 0.2901 | ticks/s 22.84 | continuidade 0.75 | estrutura confirmada contrária -6;delta30 insuficiente -6.0 | saldo30 insuficiente -5.0 | vel15 insuficiente 0.0198 | sem rompimento confirmado -1.25 | hard-gate DNA incompleto | lados próximos: diferença 8 | score 35 < 72;27;35;19;41;8.0;-6.0;NOVA_CAMPANHA;False;;0.0;False
estados;estados_c7_dna_fluxo_v5_2.csv;;9;2026-07-17 17:42:19;28760.25;0.75;0.5;21;2;48.0;28.0;20;12.0;9.0;3;1.6896551724137931;0.5918367346938775;0.0168180289270097;0.2606202762574928;-0.0521920668058455;0.3128123430633384;0.25;28761.0;28758.75;-0.75;-1.5;0.25;21.594349142280524;10;0.0;0.0;0.0;0.0;0.0;0.7253086419753086;1.5;FORTE;ALTA;ALTA mantida durante TRANSICAO;12;28761.0;28762.0;28758.0;28757.25;8.0;0.2212389380530973;TRANSICAO confirmada em 2026-07-17 17:41:38.263000;TOPO;28761.0;2026-07-17 17:41:38.263;TRANSICAO;"topos/fundos divergentes: 28762.00->28761.00; 28757.25->28758.00";ALTA;;0.0;28758.0;2026-07-17 17:41:07.626000;False;COMPRA;76;68;8.0;8;68;True;True;False;True;False;True;True;False;5;vel15 | rompimento;False;5;vel15 | rompimento;False;1;delta30 | saldo30 | vel15 | aceleracao | rompimento | continuidade;spread FORTE +10 | delta30 favorável 21.0 | saldo agressor30 20.0 | saldo10 favorável 3.0 | razão fluxo 1.69 | vel5 acelerando 0.2606 | aceleração 0.3128 | ticks/s 21.59 | continuidade 0.25 | estrutura confirmada alinhada +8;vel15 insuficiente 0.0168 | sem rompimento confirmado -0.75 | hard-gate DNA incompleto;76;8;68;14;8.0;-6.0;NOVA_CAMPANHA;False;;0.0;False
estados;estados_c7_dna_fluxo_v5_2.csv;;10;2026-07-17 17:42:31;28756.75;0.75;3.0;-12;-18;34.0;47.0;-13;11.0;30.0;-19;0.7291666666666666;1.3714285714285714;-0.3310381355932204;-0.3061224489795918;-0.3594249201277955;0.0533024711482037;-3.75;28761.0;28756.5;-4.25;-0.25;0.5;30.27895480225989;10;0.0;0.0;0.0;0.0;0.0;0.7338709677419355;1.5;FORTE;ALTA;ALTA mantida durante TRANSICAO;12;28761.0;28762.0;28758.0;28757.25;8.0;0.2212389380530973;TRANSICAO confirmada em 2026-07-17 17:41:38.263000;TOPO;28761.0;2026-07-17 17:41:38.263;TRANSICAO;"topos/fundos divergentes: 28762.00->28761.00; 28757.25->28758.00";ALTA;;0.0;28758.0;2026-07-17 17:41:07.626000;False;VENDA;49;55;-6.0;38;11;False;True;True;False;False;False;True;False;3;delta30 | aceleracao | rompimento | continuidade;False;3;delta30 | saldo30 | vel15 | rompimento;False;3;delta30 | aceleracao | rompimento | continuidade;spread FORTE +10 | delta10 crescente 18.0 | saldo agressor30 13.0 | saldo10 favorável 19.0 | razão fluxo 1.37 | vel15 0.3310 | desloc15 3.75 | ticks/s 30.28 | estrutura confirmada contrária -6;delta30 insuficiente 12.0 | aceleração insuficiente -0.0533 | sem rompimento confirmado -0.25 | sem continuidade -0.50 | hard-gate DNA incompleto | lados próximos: diferença 11 | score 49 < 72;38;49;30;55;8.0;-6.0;NOVA_CAMPANHA;False;;0.0;False
estados;estados_c7_dna_fluxo_v5_2.csv;;11;2026-07-17 17:42:42;28756.75;0.75;1.5;-11;3;29.0;41.0;-12;12.0;8.0;4;0.7142857142857143;1.4;-0.1026975215664795;0.1;-0.15416872224963;0.25416872224963;-1.5;28760.75;28755.75;-4.0;-1.0;0.75;23.62042996029029;10;0.0;0.0;0.0;0.0;0.0;0.7327586206896551;1.5;FORTE;ALTA;ALTA mantida durante TRANSICAO;12;28761.0;28762.0;28758.0;28757.25;8.0;0.2212389380530973;TRANSICAO confirmada em 2026-07-17 17:41:38.263000;TOPO;28761.0;2026-07-17 17:41:38.263;TRANSICAO;"topos/fundos divergentes: 28762.00->28761.00; 28757.25->28758.00";ALTA;;0.0;28758.0;2026-07-17 17:41:07.626000;False;COMPRA;49;41;8.0;36;13;False;False;False;True;False;True;True;False;3;delta30 | saldo30 | vel15 | rompimento;False;3;delta30 | saldo30 | vel15 | rompimento;False;3;delta30 | aceleracao | rompimento | continuidade;spread FORTE +10 | saldo10 favorável 4.0 | vel5 acelerando 0.1000 | aceleração 0.2542 | ticks/s 23.62 | continuidade 0.75 | estrutura confirmada alinhada +8;delta30 insuficiente -11.0 | saldo30 insuficiente -12.0 | vel15 insuficiente -0.1027 | sem rompimento confirmado -4.00 | hard-gate DNA incompleto | score 49 < 72;49;36;41;42;8.0;-6.0;NOVA_CAMPANHA;False;;0.0;False
estados;estados_c7_dna_fluxo_v5_2.csv;;12;2026-07-17 17:42:54;28759.0;0.75;0.5;-3;15;35.0;39.0;-4;19.0;3.0;16;0.9;1.1111111111111112;0.1678753693258125;0.3572157583180241;0.0759416767922235;0.2812740815258005;2.5;28759.0;28755.5;0.0;-3.5;0.25;25.31560569433253;10;0.0;0.0;0.0;0.0;0.0;0.7092391304347826;1.25;FORTE;ALTA;"ALTA mantida; candidata BAIXA 1/2; rompeu_invalidação=False";12;28761.0;28762.0;28755.5;28758.0;8.0;0.0454545454545454;BAIXA confirmada em 2026-07-17 17:42:26.302000;FUNDO;28755.5;2026-07-17 17:42:26.302;BAIXA;topo 28761.00<28762.00 e fundo 28755.50<28758.00;ALTA;BAIXA;1.0;28758.0;2026-07-17 17:41:07.626000;False;COMPRA;70;62;8.0;17;53;False;False;True;True;False;True;True;False;4;delta30 | saldo30 | rompimento;False;4;delta30 | saldo30 | rompimento;False;1;delta30 | saldo30 | vel15 | aceleracao | rompimento | continuidade;spread FORTE +10 | delta10 crescente 15.0 | saldo10 favorável 16.0 | vel15 0.1679 | vel5 acelerando 0.3572 | aceleração 0.2813 | desloc15 2.50 | ticks/s 25.32 | continuidade 0.25 | estrutura confirmada alinhada +8;delta30 insuficiente -3.0 | saldo30 insuficiente -4.0 | sem rompimento confirmado 0.00 | hard-gate DNA incompleto | score 70 < 72;70;17;62;19;8.0;-2.0;NOVA_CAMPANHA;False;;0.0;False
estados;estados_c7_dna_fluxo_v5_2.csv;;13;2026-07-17 17:43:05;28758.5;0.75;1.5;8;-7;26.0;19.0;7;4.0;10.0;-6;1.35;0.7407407407407407;-0.050641458474004;-0.3508771929824561;0.0;-0.3508771929824561;-0.75;28759.5;28755.5;-1.0;-3.0;0.25;20.594193112761648;10;0.0;0.0;0.0;0.0;0.0;0.6541666666666667;1.25;FORTE;ALTA;"ALTA mantida; candidata BAIXA 1/2; rompeu_invalidação=False";12;28761.0;28762.0;28755.5;28758.0;8.0;0.0454545454545454;BAIXA confirmada em 2026-07-17 17:42:26.302000;FUNDO;28755.5;2026-07-17 17:42:26.302;BAIXA;topo 28761.00<28762.00 e fundo 28755.50<28758.00;ALTA;BAIXA;1.0;28758.0;2026-07-17 17:41:07.626000;False;VENDA;42;44;-2.0;37;5;False;False;True;True;False;False;True;False;3;delta30 | saldo30 | rompimento | continuidade;False;2;delta30 | saldo30 | vel15 | aceleracao | rompimento;False;3;delta30 | saldo30 | rompimento | continuidade;spread FORTE +10 | saldo10 favorável 6.0 | vel15 0.0506 | vel5 acelerando 0.3509 | aceleração 0.3509 | desloc15 0.75 | ticks/s 20.59 | estrutura confirmada contrária -6 | estrutura local alinhada +4;delta30 insuficiente -8.0 | saldo30 insuficiente -7.0 | sem rompimento confirmado -3.00 | sem continuidade -0.25 | hard-gate DNA incompleto | lados próximos: diferença 5 | score 42 < 72;37;42;29;44;8.0;-2.0;NOVA_CAMPANHA;False;;0.0;False
estados;estados_c7_dna_fluxo_v5_2.csv;;14;2026-07-17 17:43:17;28758.75;0.75;3.0;-8;-20;32.0;39.0;-7;10.0;31.0;-21;0.825;1.2121212121212122;-0.0649631875270679;-0.0579642939948991;-0.0788394828129927;0.0208751888180935;-0.75;28759.5;28757.25;-0.75;-1.5;-0.25;33.08791684711996;10;0.0;0.0;0.0;0.0;0.0;0.7219101123595506;1.25;FORTE;ALTA;ALTA mantida durante TRANSICAO;12;28759.5;28761.0;28757.5;28755.5;7.5;0.088235294117647;TRANSICAO confirmada em 2026-07-17 17:43:01.677000;FUNDO;28757.5;2026-07-17 17:43:01.677;TRANSICAO;"topos/fundos divergentes: 28761.00->28759.50; 28755.50->28757.50";ALTA;BAIXA;1.0;28758.0;2026-07-17 17:41:07.626000;False;VENDA;49;55;-6.0;28;21;False;False;True;False;False;True;True;False;3;delta30 | saldo30 | aceleracao | rompimento;False;2;delta30 | saldo30 | vel15 | rompimento | continuidade;False;3;delta30 | saldo30 | aceleracao | rompimento;spread FORTE +10 | delta10 crescente 20.0 | saldo10 favorável 21.0 | razão fluxo 1.21 | vel15 0.0650 | desloc15 0.75 | ticks/s 33.09 | continuidade 0.25 | estrutura confirmada contrária -6;delta30 insuficiente 8.0 | saldo30 insuficiente 7.0 | aceleração insuficiente -0.0209 | sem rompimento confirmado -1.50 | hard-gate DNA incompleto | score 49 < 72;28;49;20;55;8.0;-6.0;NOVA_CAMPANHA;False;;0.0;False
estados;estados_c7_dna_fluxo_v5_2.csv;;15;2026-07-17 17:43:29;28759.0;0.5;1.0;-23;1;20.0;42.0;-22;8.0;6.0;2;0.4883720930232558;2.0476190476190474;0.0169124611013394;-0.0515463917525773;0.1670676289762095;-0.2186140207287868;0.25;28760.0;28757.5;-1.0;-1.5;0.0;9.741577594371533;10;0.0;0.0;0.0;0.0;0.0;0.7094594594594594;1.0;FORTE;ALTA;ALTA mantida durante TRANSICAO;12;28759.5;28761.0;28757.5;28755.5;7.5;0.088235294117647;TRANSICAO confirmada em 2026-07-17 17:43:01.677000;FUNDO;28757.5;2026-07-17 17:43:01.677;TRANSICAO;"topos/fundos divergentes: 28761.00->28759.50; 28755.50->28757.50";ALTA;BAIXA;1.0;28758.0;2026-07-17 17:41:07.626000;False;VENDA;47;53;-6.0;27;20;True;True;False;True;False;False;True;False;4;vel15 | rompimento | continuidade;False;1;delta30 | saldo30 | vel15 | aceleracao | rompimento | continuidade;False;4;vel15 | rompimento | continuidade;spread FORTE +10 | delta30 favorável 23.0 | saldo agressor30 22.0 | razão fluxo 2.05 | vel5 acelerando 0.0515 | aceleração 0.2186 | ticks/s 9.74 | estrutura confirmada contrária -6;vel15 insuficiente -0.0169 | sem rompimento confirmado -1.50 | sem continuidade -0.00 | hard-gate DNA incompleto | score 47 < 72;27;47;19;53;8.0;-6.0;NOVA_CAMPANHA;False;;0.0;False
estados;estados_c7_dna_fluxo_v5_2.csv;;16;2026-07-17 17:43:41;28759.0;0.5;1.5;-17;1;17.0;33.0;-16;3.0;1.0;2;0.5294117647058824;1.8888888888888888;-0.0729235032450959;-0.061515748031496;-0.4040948275862069;0.3425790795547108;-1.0;28760.0;28757.5;-1.0;-1.5;-0.25;14.58470064901918;10;0.0;0.0;0.0;0.0;0.0;0.725;1.0;FORTE;ALTA;"ALTA mantida; estrutura bruta alinhada";12;28760.0;28759.5;28757.5;28755.5;7.25;0.0948905109489051;ALTA confirmada em 2026-07-17 17:43:14.896000;TOPO;28760.0;2026-07-17 17:43:14.896;ALTA;topo 28760.00>28759.50 e fundo 28757.50>28755.50;ALTA;;0.0;28758.0;2026-07-17 17:41:07.626000;False;VENDA;46;52;-6.0;37;9;False;True;True;False;False;True;True;False;4;delta30 | aceleracao | rompimento;False;2;delta30 | saldo30 | vel15 | rompimento | continuidade;False;4;delta30 | aceleracao | rompimento;spread FORTE +10 | saldo agressor30 16.0 | razão fluxo 1.89 | vel15 0.0729 | desloc15 1.00 | ticks/s 14.58 | continuidade 0.25 | estrutura confirmada contrária -6;delta30 insuficiente 17.0 | aceleração insuficiente -0.3426 | sem rompimento confirmado -1.50 | hard-gate DNA incompleto | lados próximos: diferença 9 | score 46 < 72;37;46;25;52;12.0;-6.0;NOVA_CAMPANHA;False;;0.0;False
estados;estados_c7_dna_fluxo_v5_2.csv;;17;2026-07-17 17:43:52;28759.5;0.5;1.0;0;0;13.0;14.0;-1;4.0;5.0;-1;0.9333333333333332;1.0714285714285714;0.0167638972708375;0.0;-0.0265533722782793;0.0265533722782793;0.25;28760.0;28758.5;-0.5;-1.0;0.5;9.119560115335611;10;0.0;0.0;0.0;0.0;0.0;0.5448717948717948;0.75;FORTE;ALTA;"ALTA mantida; estrutura bruta alinhada";12;28760.0;28759.5;28757.5;28755.5;7.25;0.0948905109489051;ALTA confirmada em 2026-07-17 17:43:14.896000;TOPO;28760.0;2026-07-17 17:43:14.896;ALTA;topo 28760.00>28759.50 e fundo 28757.50>28755.50;ALTA;;0.0;28758.0;2026-07-17 17:41:07.626000;False;COMPRA;42;30;12.0;13;29;False;False;False;True;False;True;True;False;3;delta30 | saldo30 | vel15 | rompimento;False;3;delta30 | saldo30 | vel15 | rompimento;False;1;delta30 | saldo30 | vel15 | aceleracao | rompimento | continuidade;spread FORTE +10 | aceleração 0.0266 | ticks/s 9.12 | continuidade 0.50 | estrutura confirmada alinhada +8 | estrutura local alinhada +4;delta30 insuficiente 0.0 | saldo30 insuficiente -1.0 | vel15 insuficiente 0.0168 | sem rompimento confirmado -0.50 | hard-gate DNA incompleto | score 42 < 72;42;13;30;19;12.0;-6.0;NOVA_CAMPANHA;False;;0.0;False
